K,I,Regret,ProcessTime,SpaceUsage
700,1,69503.83152917643,102547567946166.0,5659334400.0
720,1,71483.16806982928,110886801942789.0,5815014400.0
740,1,73462.33711458143,121373616654414.0,5970694400.0
760,1,75455.51481562502,126469423555843.0,6126374400.0
780,1,77440.58164938424,128672404908611.0,6282054400.0
