K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,3896215333.0,21171116.0
120,66.33029455611023,8543613339.0,21171116.0
140,77.58493028953075,9959476009.0,21363916.0
160,86.77125908833145,11522050516.0,21556716.0
180,101.37291840435331,13058195449.0,21749516.0
200,112.3873276964351,14665156503.0,21942316.0
220,118.78187767554866,16036139144.0,21942316.0
240,132.68106561613806,17227997168.0,22135116.0
260,140.8157627027297,18941885597.0,22327916.0
280,153.90207872195327,20446114827.0,22327916.0
300,164.93587868879382,19618897133.0,22520716.0
320,174.41972804269363,22966330571.0,22520716.0
340,190.97995680039227,28596712626.0,22713516.0
360,197.3312532596732,33987372306.0,22713516.0
380,206.2112305347349,33874919737.0,22906316.0
400,222.6228863610878,32377567797.0,23099116.0
420,233.4787535227853,32550948627.0,23099116.0
440,239.88902974456136,38772632908.0,23099116.0
460,248.48748557625763,37519513580.0,23291916.0
480,265.7272011036063,35683925026.0,23291916.0
500,273.6067810973717,43163797141.0,23484716.0
520,289.2991045852832,37437043610.0,23484716.0
540,295.02827273716275,40600762073.0,23677516.0
560,310.412361295766,40736493008.0,23677516.0
580,319.8324789954842,42794998112.0,23870316.0
600,323.496891221112,43812937797.0,23870316.0
620,343.8486801047908,45220707620.0,23870316.0
640,361.860992416146,46314639157.0,24063116.0
660,361.3391157825607,47834211782.0,24063116.0
680,374.2710412775855,49903756407.0,24255916.0
700,385.69088462809145,56464395042.0,24255916.0
720,395.7695803517291,55993318423.0,24255916.0
740,409.6507904618601,58854605475.0,24448716.0
760,417.2352398533644,57061823867.0,24448716.0
780,425.4262608891712,57123304004.0,24448716.0
800,448.51799167292126,64462583675.0,24641516.0
820,452.03223422449486,62559552274.0,24641516.0
840,465.2051800625329,64388522932.0,24641516.0
860,477.1393617269296,70106062470.0,24834316.0
880,479.3803839464219,64934531569.0,24834316.0
900,498.0782123245264,68047171468.0,25027116.0
920,502.5343055317072,70889602702.0,25027116.0
