K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,3587853923.0,22135116.0
120,66.33029455611023,8444430714.0,22520716.0
140,77.58493028953075,10294502243.0,22906316.0
160,86.77125908833145,11792434924.0,23291916.0
180,101.37291840435331,13839792812.0,23484716.0
200,112.3873276964351,15407446955.0,23870316.0
220,118.78187767554866,17209384030.0,24063116.0
240,132.68106561613806,18822606058.0,24255916.0
260,140.8157627027297,20574474583.0,24641516.0
280,153.90207872195327,22114778549.0,24834316.0
300,164.93587868879382,22336258781.0,25027116.0
320,174.41972804269363,26158958701.0,25219916.0
340,190.97995680039227,26377556806.0,25605516.0
360,197.3312532596732,28288455054.0,25798316.0
380,206.2112305347349,29584831810.0,25991116.0
400,222.6228863610878,32106706056.0,26183916.0
420,233.4787535227853,37132000572.0,26376716.0
440,239.88902974456136,39269827896.0,26569516.0
460,248.48748557625763,40037334975.0,26762316.0
480,265.7272011036063,38474468044.0,26955116.0
500,273.6067810973717,39087438381.0,27147916.0
520,289.2991045852832,43951921769.0,27340716.0
540,295.02827273716275,45274851886.0,27533516.0
560,310.412361295766,47542236738.0,27726316.0
580,319.8324789954842,48724942190.0,27919116.0
600,323.496891221112,50617330895.0,28111916.0
620,343.8486801047908,51289007403.0,28304716.0
640,361.860992416146,53915730735.0,28497516.0
660,361.3391157825607,55914112779.0,28690316.0
680,374.2710412775855,58350409076.0,28883116.0
700,385.69088462809145,62968454333.0,28883116.0
720,395.7695803517291,60124845042.0,29075916.0
740,409.6507904618601,63567533590.0,29268716.0
760,417.2352398533644,70315139751.0,29461516.0
780,425.4262608891712,75868299636.0,29654316.0
800,448.51799167292126,50761569556.0,29847116.0
820,452.03223422449486,40797962400.0,30039916.0
840,465.2051800625329,42161930097.0,30039916.0
860,477.1393617269296,43473494159.0,30232716.0
880,479.3803839464219,44949416551.0,30425516.0
900,498.0782123245264,82668986054.0,30618316.0
920,502.5343055317072,87707447716.0,30811116.0
940,521.3340204274722,88474358863.0,30811116.0
960,523.7068557123948,98842774774.0,31003916.0
980,548.1116940078912,89933223686.0,31196716.0
1000,549.7613219775734,88769077618.0,31389516.0
1020,564.3498766321295,98552740912.0,31389516.0
1040,572.4339352530178,98146559887.0,31582316.0
1060,578.5263455421242,100519207687.0,31775116.0
1080,589.6055897869678,103212400381.0,31967916.0
1100,605.7512609111797,101971162215.0,31967916.0
1120,620.2168047663589,104190741221.0,32160716.0
1140,618.7196305904239,107783684306.0,32353516.0
1160,648.1637109331241,109706516790.0,32353516.0
1180,650.6750027804795,111959862710.0,32546316.0
1200,667.5206328895871,75487694939.0,32739116.0
1220,666.3197011265264,101944596356.0,32931916.0
1240,678.1304691505674,66798769780.0,32931916.0
1260,696.0861650804017,70405607769.0,33124716.0
1280,705.2769503244929,117670428660.0,33317516.0
1300,716.8118738128521,122564470140.0,33317516.0
1320,728.8361574749986,129668304457.0,33510316.0
1340,732.589675997812,128182875385.0,33703116.0
1360,756.0852747959678,129760459595.0,33703116.0
1380,762.1151296718347,126773000864.0,33895916.0
1400,769.9134455612397,97120815740.0,34088716.0
1420,778.1981595047139,134129993296.0,34088716.0
1440,797.8240267591169,78500378397.0,34281516.0
1460,802.0264951376765,78184791755.0,34474316.0
1480,812.304468624867,79060994234.0,34474316.0
1500,825.9790246431345,161353333220.0,34667116.0
1520,837.5654703940436,156910517151.0,34859916.0
1540,853.84106741594,161066366665.0,34859916.0
1560,861.4224531395707,163367587189.0,35052716.0
1580,868.0173389892085,160115759083.0,35245516.0
1600,876.3101901965604,196627126318.0,35245516.0
1620,896.7783485731933,142229476093.0,35438316.0
1640,902.5197505598286,101094200950.0,35438316.0
1660,905.6072706226246,166987660552.0,35631116.0
1680,919.672541915393,191362534214.0,35823916.0
1700,933.878047326288,186486635451.0,35823916.0
1720,944.4781552046952,186247196029.0,36016716.0
1740,968.2890599822668,194375197855.0,36016716.0
1760,975.5290718857848,190404120362.0,36209516.0
1780,971.0906144430932,201729750035.0,36402316.0
1800,989.9502319401852,113812362248.0,36402316.0
1820,1004.2301169986608,132221970286.0,36595116.0
1840,1009.1141861978572,114224565874.0,36595116.0
1860,1018.2781636135076,113393140343.0,36787916.0
1880,1015.988085342815,116754564304.0,36980716.0
1900,1044.258997040897,209411826407.0,36980716.0
1920,1056.853910499215,209167533930.0,37173516.0
1940,1075.3799394397213,206797516728.0,37173516.0
1960,1081.282085575143,181930828425.0,37366316.0
1980,1082.5885926643457,152491553077.0,37559116.0
2000,1106.213591014182,170451409787.0,37559116.0
2020,1111.8981720832817,166795176248.0,37751916.0
2040,1111.802974205038,157466230537.0,37751916.0
