K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,6773090069.0,22135116.0
120,66.33029455611023,8733537527.0,22520716.0
140,77.58493028953075,10224859665.0,22906316.0
160,86.77125908833145,11877726847.0,23291916.0
180,101.37291840435331,13548898723.0,23484716.0
200,112.3873276964351,15029787313.0,23870316.0
220,118.78187767554866,16613639190.0,24063116.0
240,132.68106561613806,17864601976.0,24255916.0
260,140.8157627027297,19335093724.0,24641516.0
280,153.90207872195327,21014708061.0,24834316.0
300,164.93587868879382,21638430854.0,25027116.0
320,174.41972804269363,23565881339.0,25219916.0
340,190.97995680039227,25665204485.0,25605516.0
360,197.3312532596732,27462389856.0,25798316.0
380,206.2112305347349,28688119777.0,25991116.0
400,222.6228863610878,30642201991.0,26183916.0
420,233.4787535227853,37574576372.0,26376716.0
440,239.88902974456136,40858160439.0,26569516.0
460,248.48748557625763,50545679335.0,26762316.0
480,265.7272011036063,48833829354.0,26955116.0
500,273.6067810973717,38552595187.0,27147916.0
520,289.2991045852832,41275534723.0,27340716.0
540,295.02827273716275,42331817365.0,27533516.0
560,310.412361295766,44720300084.0,27726316.0
580,319.8324789954842,46459967685.0,27919116.0
600,323.496891221112,49027049272.0,28111916.0
620,343.8486801047908,49363312397.0,28304716.0
640,361.860992416146,52343285869.0,28497516.0
660,361.3391157825607,54939433874.0,28690316.0
680,374.2710412775855,56031885526.0,28883116.0
700,385.69088462809145,57576875365.0,28883116.0
720,395.7695803517291,59777228547.0,29075916.0
740,409.6507904618601,62993390757.0,29268716.0
760,417.2352398533644,63133798845.0,29461516.0
780,425.4262608891712,65426546574.0,29654316.0
800,448.51799167292126,65831803415.0,29847116.0
820,452.03223422449486,69565146481.0,30039916.0
840,465.2051800625329,73887003736.0,30039916.0
860,477.1393617269296,74434901925.0,30232716.0
880,479.3803839464219,77451935931.0,30425516.0
900,498.0782123245264,75136828075.0,30618316.0
920,502.5343055317072,78427529078.0,30811116.0
940,521.3340204274722,80295702517.0,30811116.0
960,523.7068557123948,82476968105.0,31003916.0
980,548.1116940078912,85926084825.0,31196716.0
1000,549.7613219775734,81190769663.0,31389516.0
1020,564.3498766321295,86769279583.0,31389516.0
1040,572.4339352530178,90371571666.0,31582316.0
1060,578.5263455421242,57190379925.0,31775116.0
1080,589.6055897869678,62452844417.0,31967916.0
1100,605.7512609111797,107983201450.0,31967916.0
1120,620.2168047663589,110519207419.0,32160716.0
1140,618.7196305904239,115915943368.0,32353516.0
1160,648.1637109331241,111666797197.0,32353516.0
1180,650.6750027804795,68338303982.0,32546316.0
1200,667.5206328895871,70090595971.0,32739116.0
1220,666.3197011265264,85469841661.0,32931916.0
1240,678.1304691505674,105301340167.0,32931916.0
1260,696.0861650804017,65497666521.0,33124716.0
1280,705.2769503244929,65142447593.0,33317516.0
1300,716.8118738128521,148671725233.0,33317516.0
1320,728.8361574749986,146135408065.0,33510316.0
1340,732.589675997812,130829639403.0,33703116.0
1360,756.0852747959678,132393569975.0,33703116.0
1380,762.1151296718347,140631965117.0,33895916.0
1400,769.9134455612397,133532154199.0,34088716.0
1420,778.1981595047139,133372568997.0,34088716.0
1440,797.8240267591169,134419965330.0,34281516.0
1460,802.0264951376765,134162065409.0,34474316.0
1480,812.304468624867,135377187493.0,34474316.0
1500,825.9790246431345,156300961671.0,34667116.0
1520,837.5654703940436,149156245781.0,34859916.0
1540,853.84106741594,165719507767.0,34859916.0
1560,861.4224531395707,97804850780.0,35052716.0
1580,868.0173389892085,148411598556.0,35245516.0
1600,876.3101901965604,156867962594.0,35245516.0
1620,896.7783485731933,162385372074.0,35438316.0
1640,902.5197505598286,163996426550.0,35438316.0
1660,905.6072706226246,166503762843.0,35631116.0
1680,919.672541915393,169371054755.0,35823916.0
1700,933.878047326288,171619120667.0,35823916.0
1720,944.4781552046952,174777484811.0,36016716.0
1740,968.2890599822668,193764429110.0,36016716.0
1760,975.5290718857848,169061415769.0,36209516.0
1780,971.0906144430932,111300521039.0,36402316.0
1800,989.9502319401852,109168491349.0,36402316.0
1820,1004.2301169986608,111394331342.0,36595116.0
1840,1009.1141861978572,112665282121.0,36595116.0
1860,1018.2781636135076,111599309940.0,36787916.0
1880,1015.988085342815,115489864933.0,36980716.0
1900,1044.258997040897,204809813500.0,36980716.0
1920,1056.853910499215,208919399413.0,37173516.0
1940,1075.3799394397213,204468340702.0,37173516.0
1960,1081.282085575143,172424976000.0,37366316.0
1980,1082.5885926643457,197655383975.0,37559116.0
2000,1106.213591014182,200791957462.0,37559116.0
2020,1111.8981720832817,205452180468.0,37751916.0
2040,1111.802974205038,205671632858.0,37751916.0
2060,1119.2769278117978,210705768498.0,37944716.0
2080,1138.504127092415,176534753393.0,37944716.0
2100,1156.5009336873752,225812820518.0,38137516.0
2120,1166.5382045213432,225433063676.0,38330316.0
2140,1186.1080197248175,201029893587.0,38330316.0
2160,1183.5611429554149,206710393037.0,38523116.0
2180,1203.5541670488235,228129784499.0,38523116.0
2200,1213.1673465667018,215358966725.0,38715916.0
2220,1213.393701182409,132426819432.0,38715916.0
2240,1214.587204584693,134628994338.0,38908716.0
2260,1238.1008685245872,141132426216.0,38908716.0
2280,1248.6619535614464,140886882043.0,39101516.0
2300,1270.0861587675315,313768646407.0,39294316.0
2320,1279.791396231503,240624760422.0,39294316.0
2340,1292.9817982890954,206999816072.0,39487116.0
2360,1290.984955446051,168748119807.0,39487116.0
2380,1312.7328074993204,170537617088.0,39679916.0
2400,1317.8658588183926,178319426043.0,39679916.0
2420,1317.2096351860807,193835915824.0,39872716.0
2440,1330.3179698970011,166686234507.0,39872716.0
2460,1354.4809818680806,169430403704.0,40065516.0
2480,1356.7163149002013,169695775994.0,40065516.0
2500,1378.8256002032456,297157699521.0,40258316.0
2520,1391.3826666721884,301748410828.0,40258316.0
2540,1400.1209821710925,319489953749.0,40451116.0
2560,1403.041587642194,296711606830.0,40451116.0
2580,1426.7956489641829,285705529026.0,40643916.0
2600,1420.7580807079764,276967469520.0,40643916.0
2620,1420.875026146558,238980374029.0,40836716.0
2640,1453.591012934783,167752307696.0,40836716.0
2660,1459.1820965103004,169755758270.0,41029516.0
2680,1467.421306767327,170593135829.0,41029516.0
2700,1488.1789987110667,321280507132.0,41222316.0
2720,1504.517787309542,315666464251.0,41415116.0
2740,1505.4489411768682,335628668934.0,41415116.0
2760,1521.7681661541744,236721573319.0,41607916.0
2780,1527.2219105043,188951713817.0,41607916.0
2800,1524.2896290555325,187981632461.0,41800716.0
2820,1536.792113971149,188230122453.0,41800716.0
2840,1560.5905304877056,190792579009.0,41993516.0
2860,1566.2149861261018,190817591798.0,41993516.0
2880,1590.821211106398,186366684536.0,42186316.0
2900,1598.081987252148,340190296037.0,42186316.0
2920,1609.0066661850478,261078857459.0,42379116.0
2940,1618.0661391783924,285702066368.0,42379116.0
2960,1633.006422257622,241152802413.0,42379116.0
2980,1630.5757485208217,226792752188.0,42571916.0
3000,1633.1231905762263,200412650126.0,42571916.0
3020,1660.9659720544298,204389744621.0,42764716.0
3040,1665.0797771823563,199548033540.0,42764716.0
3060,1682.3117326464524,201755504162.0,42957516.0
3080,1701.969383827589,206920767748.0,42957516.0
3100,1706.9465242716085,397823927612.0,43150316.0
3120,1725.6765521422549,357841457926.0,43150316.0
3140,1722.8741367343832,355100913694.0,43343116.0
3160,1744.5543824471304,381677539729.0,43343116.0
3180,1737.8500643021328,377546165531.0,43535916.0
3200,1741.3376911958642,217306652836.0,43535916.0
3220,1768.2943262373549,214795466521.0,43728716.0
3240,1774.9117846109416,214556921025.0,43728716.0
3260,1794.450987441726,246211401080.0,43921516.0
3280,1810.834067997494,244136576908.0,43921516.0
3300,1811.675889932179,428226649232.0,44114316.0
3320,1840.3773774422916,444834739151.0,44114316.0
3340,1831.5402226488293,432584814606.0,44307116.0
3360,1857.829814010195,419908344506.0,44307116.0
3380,1837.2288946698773,287779940531.0,44499916.0
3400,1860.4426506345428,247618375011.0,44499916.0
3420,1876.3594365516835,235728213032.0,44499916.0
3440,1892.3268182121997,239180787601.0,44692716.0
3460,1914.603585134901,240814333234.0,44692716.0
3480,1910.903165898796,244442676697.0,44885516.0
3500,1921.8593440224504,466497764866.0,44885516.0
3520,1954.8081798486464,484242290283.0,45078316.0
3540,1939.839330424034,480740174621.0,45078316.0
3560,1958.7183184244136,456271833805.0,45271116.0
3580,1946.6349812507167,293733247141.0,45271116.0
3600,1979.4318620316972,253748300870.0,45463916.0
3620,1979.3178717497285,254604600731.0,45463916.0
3640,2004.0580300631696,256400266750.0,45463916.0
3660,2017.2261171974565,260410665643.0,45656716.0
3680,2030.2007023068663,260405150862.0,45656716.0
3700,2033.7727561842175,510731385065.0,45849516.0
3720,2061.5491704787382,515427302613.0,45849516.0
3740,2055.560482134529,511739777960.0,46042316.0
3760,2062.135378303804,454157556300.0,46042316.0
3780,2058.784741261497,307973150324.0,46235116.0
3800,2081.7688164289743,296567935861.0,46235116.0
3820,2100.8725896533383,281771776545.0,46427916.0
3840,2119.488816449187,283157023872.0,46427916.0
3860,2124.251053493352,283397573520.0,46427916.0
3880,2133.0925098249863,287057542087.0,46620716.0
3900,2144.083403634588,531950928715.0,46620716.0
3920,2168.634276048881,454354613374.0,46813516.0
3940,2166.5570709867475,317070364766.0,46813516.0
3960,2169.495973672946,439523096235.0,47006316.0
3980,2169.6190174641424,414599247720.0,47006316.0
4000,2197.807535261523,490446089769.0,47006316.0
4020,2209.2089964695097,516272452656.0,47199116.0
4040,2224.821164231028,519589899455.0,47199116.0
4060,2239.85817458812,424793100440.0,47391916.0
4080,2250.452675847327,304991485847.0,47391916.0
4100,2256.2339395839062,607780083846.0,47584716.0
4120,2272.749093792225,533470995310.0,47584716.0
4140,2281.0163282909098,561698054500.0,47584716.0
4160,2271.653248570944,400357670559.0,47777516.0
4180,2289.9633072728693,344463423931.0,47777516.0
4200,2297.782114764029,347522625537.0,47970316.0
4220,2331.9709763177607,346863050440.0,47970316.0
