K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,5940682003.0,25219916.0
120,66.33029455611023,9461535814.0,26183916.0
140,77.58493028953075,11308508286.0,26955116.0
160,86.77125908833145,13201744789.0,27726316.0
180,101.37291840435331,15208230972.0,28690316.0
200,112.3873276964351,17459433657.0,29461516.0
220,118.78187767554866,19690137571.0,30232716.0
240,132.68106561613806,21720214961.0,30811116.0
260,140.8157627027297,24361924963.0,31582316.0
280,153.90207872195327,26878493893.0,32353516.0
300,164.93587868879382,25285515002.0,33124716.0
320,174.41972804269363,30526334073.0,33703116.0
340,190.97995680039227,33020814861.0,34474316.0
360,197.3312532596732,36536185582.0,35052716.0
380,206.2112305347349,39801423014.0,35823916.0
400,222.6228863610878,42611682565.0,36402316.0
420,233.4787535227853,45560014726.0,36980716.0
440,239.88902974456136,48728807918.0,37751916.0
460,248.48748557625763,51337461861.0,38330316.0
480,265.7272011036063,56420514121.0,38908716.0
500,273.6067810973717,55929594641.0,39487116.0
520,289.2991045852832,62359731679.0,40065516.0
540,295.02827273716275,65520081381.0,40836716.0
560,310.412361295766,68649846186.0,41415116.0
580,319.8324789954842,74258393855.0,41993516.0
600,323.496891221112,76864094449.0,42571916.0
620,343.8486801047908,80668337148.0,43150316.0
640,361.860992416146,83480599155.0,43728716.0
660,361.3391157825607,70915134805.0,44307116.0
680,374.2710412775855,94413679181.0,44885516.0
700,385.69088462809145,108761746996.0,45463916.0
720,395.7695803517291,114637761477.0,45849516.0
740,409.6507904618601,119638916527.0,46427916.0
760,417.2352398533644,124384528339.0,47006316.0
780,425.4262608891712,128101619570.0,47584716.0
800,448.51799167292126,137571366723.0,48163116.0
820,452.03223422449486,137782377168.0,48741516.0
840,465.2051800625329,141224444640.0,49319916.0
860,477.1393617269296,147948208120.0,49705516.0
880,479.3803839464219,151043746963.0,50283916.0
900,498.0782123245264,147561195937.0,50862316.0
920,502.5343055317072,152988695173.0,51440716.0
940,521.3340204274722,160244172044.0,51826316.0
960,523.7068557123948,166108870025.0,52404716.0
980,548.1116940078912,170673374751.0,52983116.0
1000,549.7613219775734,177512584205.0,53368716.0
1020,564.3498766321295,160131331636.0,53947116.0
1040,572.4339352530178,181792017893.0,54525516.0
1060,578.5263455421242,179358122403.0,54911116.0
1080,589.6055897869678,152894389731.0,55489516.0
1100,605.7512609111797,209414124653.0,56067916.0
1120,620.2168047663589,239603807019.0,56453516.0
1140,618.7196305904239,227010782234.0,57031916.0
1160,648.1637109331241,260975192225.0,57417516.0
1180,650.6750027804795,242038485433.0,57995916.0
1200,667.5206328895871,241511782148.0,58381516.0
1220,666.3197011265264,187763134069.0,58959916.0
1240,678.1304691505674,211973207479.0,59345516.0
1260,696.0861650804017,287095825068.0,59923916.0
1280,705.2769503244929,272739307749.0,60309516.0
1300,716.8118738128521,288047261566.0,60887916.0
1320,728.8361574749986,316311599591.0,61273516.0
1340,732.589675997812,314855901015.0,61851916.0
1360,756.0852747959678,196427306898.0,62237516.0
1380,762.1151296718347,201884654436.0,62815916.0
1400,769.9134455612397,194932931223.0,63201516.0
1420,778.1981595047139,244676622228.0,63779916.0
1440,797.8240267591169,224169425778.0,64165516.0
1460,802.0264951376765,257720977728.0,64743916.0
1480,812.304468624867,209690272645.0,65129516.0
1500,825.9790246431345,407206947789.0,65707916.0
1520,837.5654703940436,397944217427.0,66093516.0
1540,853.84106741594,415294038702.0,66479116.0
1560,861.4224531395707,419625252036.0,67057516.0
1580,868.0173389892085,415018377527.0,67443116.0
1600,876.3101901965604,413919635976.0,67828716.0
1620,896.7783485731933,420721688580.0,68407116.0
1640,902.5197505598286,436390394600.0,68792716.0
1660,905.6072706226246,441671807258.0,69371116.0
1680,919.672541915393,465151051534.0,69756716.0
1700,933.878047326288,518732363171.0,70142316.0
1720,944.4781552046952,519552773370.0,70720716.0
1740,968.2890599822668,457239743481.0,71106316.0
1760,975.5290718857848,532319399602.0,71491916.0
1780,971.0906144430932,502150239390.0,72070316.0
1800,989.9502319401852,485524342566.0,72455916.0
1820,1004.2301169986608,500728515997.0,72841516.0
1840,1009.1141861978572,501923836483.0,73227116.0
1860,1018.2781636135076,498371733601.0,73805516.0
1880,1015.988085342815,555131284000.0,74191116.0
1900,1044.258997040897,541456297147.0,74576716.0
1920,1056.853910499215,568377187786.0,75155116.0
1940,1075.3799394397213,612125550037.0,75540716.0
1960,1081.282085575143,563394202190.0,75926316.0
1980,1082.5885926643457,495772733051.0,76311916.0
2000,1106.213591014182,541170628092.0,76890316.0
2020,1111.8981720832817,621181779458.0,77275916.0
2040,1111.802974205038,605458341942.0,77661516.0
2060,1119.2769278117978,372950623522.0,78047116.0
2080,1138.504127092415,374727402778.0,78432716.0
2100,1156.5009336873752,797516123807.0,79011116.0
2120,1166.5382045213432,756624303674.0,79396716.0
2140,1186.1080197248175,566268580359.0,79782316.0
2160,1183.5611429554149,774900972144.0,80167916.0
2180,1203.5541670488235,537409825760.0,80746316.0
2200,1213.1673465667018,805894289693.0,81131916.0
2220,1213.393701182409,806069462188.0,81517516.0
2240,1214.587204584693,834587549211.0,81903116.0
2260,1238.1008685245872,834529735107.0,82288716.0
2280,1248.6619535614464,863124205573.0,82674316.0
2300,1270.0861587675315,885194787464.0,83252716.0
2320,1279.791396231503,911559038931.0,83638316.0
2340,1292.9817982890954,793115760591.0,84023916.0
2360,1290.984955446051,517437152524.0,84409516.0
2380,1312.7328074993204,698651284192.0,84795116.0
2400,1317.8658588183926,666579455542.0,85180716.0
2420,1317.2096351860807,881727356605.0,85759116.0
2440,1330.3179698970011,807645826368.0,86144716.0
2460,1354.4809818680806,977410236152.0,86530316.0
2480,1356.7163149002013,904969336074.0,86915916.0
2500,1378.8256002032456,1102753384238.0,87301516.0
2520,1391.3826666721884,1018653520758.0,87687116.0
2540,1400.1209821710925,684822994681.0,88072716.0
2560,1403.041587642194,769193907795.0,88458316.0
2580,1426.7956489641829,845767585107.0,89036716.0
2600,1420.7580807079764,752296502936.0,89422316.0
2620,1420.875026146558,725056402527.0,89807916.0
2640,1453.591012934783,946352491829.0,90193516.0
