K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,3696454547.0,7615116.0
120,66.33029455611023,6514346653.0,8000716.0
140,77.58493028953075,7570459053.0,8386316.0
160,86.77125908833145,9333699216.0,8771916.0
180,101.37291840435331,10682333334.0,8964716.0
200,112.3873276964351,11959773969.0,9350316.0
220,118.78187767554866,13257452093.0,9543116.0
240,132.68106561613806,14603855868.0,9735916.0
260,140.8157627027297,15969528266.0,10121516.0
280,153.90207872195327,17391423742.0,10314316.0
300,164.93587868879382,14227214596.0,10507116.0
320,174.41972804269363,17213821522.0,10699916.0
340,190.97995680039227,20064400604.0,11085516.0
360,197.3312532596732,20716036969.0,11278316.0
380,206.2112305347349,22493608153.0,11471116.0
400,222.6228863610878,24165052234.0,11663916.0
420,233.4787535227853,25552647590.0,11856716.0
440,239.88902974456136,27227662139.0,12049516.0
460,248.48748557625763,27906483718.0,12242316.0
480,265.7272011036063,29694878226.0,12435116.0
500,273.6067810973717,31094362028.0,12627916.0
520,289.2991045852832,34386631418.0,12820716.0
540,295.02827273716275,35281325192.0,13013516.0
560,310.412361295766,37224129965.0,13206316.0
580,319.8324789954842,39000049727.0,13399116.0
600,323.496891221112,41193229510.0,13591916.0
620,343.8486801047908,41762760445.0,13784716.0
640,361.860992416146,43901176701.0,13977516.0
660,361.3391157825607,45728980719.0,14170316.0
680,374.2710412775855,48084810450.0,14363116.0
700,385.69088462809145,47778908788.0,14363116.0
720,395.7695803517291,49565682096.0,14555916.0
740,409.6507904618601,52013542792.0,14748716.0
760,417.2352398533644,52053276014.0,14941516.0
780,425.4262608891712,54383370922.0,15134316.0
800,448.51799167292126,54483320582.0,15327116.0
820,452.03223422449486,57552676804.0,15519916.0
840,465.2051800625329,58398612368.0,15519916.0
860,477.1393617269296,60273983890.0,15712716.0
880,479.3803839464219,64865758645.0,15905516.0
900,498.0782123245264,65322209998.0,16098316.0
920,502.5343055317072,76462712774.0,16291116.0
940,521.3340204274722,76800743730.0,16291116.0
960,523.7068557123948,68611009400.0,16483916.0
980,548.1116940078912,71195961550.0,16676716.0
1000,549.7613219775734,68098884647.0,16869516.0
1020,564.3498766321295,61198466205.0,16869516.0
1040,572.4339352530178,56097470810.0,17062316.0
1060,578.5263455421242,58343761777.0,17255116.0
1080,589.6055897869678,48726814718.0,17447916.0
1100,605.7512609111797,95061309600.0,17447916.0
1120,620.2168047663589,92259726904.0,17640716.0
1140,618.7196305904239,90862402331.0,17833516.0
1160,648.1637109331241,86403347515.0,17833516.0
1180,650.6750027804795,69828833570.0,18026316.0
1200,667.5206328895871,72683434524.0,18219116.0
1220,666.3197011265264,89241599745.0,18411916.0
1240,678.1304691505674,86138857912.0,18411916.0
1260,696.0861650804017,115771403507.0,18604716.0
1280,705.2769503244929,98318991129.0,18797516.0
1300,716.8118738128521,100532805080.0,18797516.0
1320,728.8361574749986,105377849512.0,18990316.0
1340,732.589675997812,105801349635.0,19183116.0
1360,756.0852747959678,107147615115.0,19183116.0
1380,762.1151296718347,110418750505.0,19375916.0
1400,769.9134455612397,118687336259.0,19568716.0
1420,778.1981595047139,133475319873.0,19568716.0
1440,797.8240267591169,116995033496.0,19761516.0
1460,802.0264951376765,124556774749.0,19954316.0
1480,812.304468624867,118383762396.0,19954316.0
1500,825.9790246431345,120579113827.0,20147116.0
1520,837.5654703940436,137046663497.0,20339916.0
1540,853.84106741594,142602937707.0,20339916.0
1560,861.4224531395707,143670243391.0,20532716.0
1580,868.0173389892085,133304368900.0,20725516.0
1600,876.3101901965604,134572539449.0,20725516.0
1620,896.7783485731933,140720161857.0,20918316.0
1640,902.5197505598286,142138045094.0,20918316.0
1660,905.6072706226246,106113437302.0,21111116.0
1680,919.672541915393,80727230772.0,21303916.0
1700,933.878047326288,166289984291.0,21303916.0
1720,944.4781552046952,173434757026.0,21496716.0
1740,968.2890599822668,157432820133.0,21496716.0
1760,975.5290718857848,153224522387.0,21689516.0
1780,971.0906144430932,155419779498.0,21882316.0
1800,989.9502319401852,149256692149.0,21882316.0
1820,1004.2301169986608,134304422295.0,22075116.0
1840,1009.1141861978572,91796586591.0,22075116.0
1860,1018.2781636135076,114078622261.0,22267916.0
1880,1015.988085342815,91481420330.0,22460716.0
1900,1044.258997040897,174618180536.0,22460716.0
1920,1056.853910499215,179994280298.0,22653516.0
1940,1075.3799394397213,181186532393.0,22653516.0
1960,1081.282085575143,174286247834.0,22846316.0
1980,1082.5885926643457,170829501356.0,23039116.0
2000,1106.213591014182,126435021801.0,23039116.0
2020,1111.8981720832817,101567920563.0,23231916.0
2040,1111.802974205038,101565994680.0,23231916.0
2060,1119.2769278117978,103660767881.0,23424716.0
2080,1138.504127092415,117364951639.0,23424716.0
2100,1156.5009336873752,189847706343.0,23617516.0
2120,1166.5382045213432,199735469489.0,23810316.0
2140,1186.1080197248175,174428459938.0,23810316.0
2160,1183.5611429554149,142319927534.0,24003116.0
2180,1203.5541670488235,178442983803.0,24003116.0
2200,1213.1673465667018,156994620261.0,24195916.0
2220,1213.393701182409,172165496217.0,24195916.0
2240,1214.587204584693,160890013083.0,24388716.0
2260,1238.1008685245872,120742141771.0,24388716.0
2280,1248.6619535614464,118001034475.0,24581516.0
2300,1270.0861587675315,222292505949.0,24774316.0
2320,1279.791396231503,246635798787.0,24774316.0
2340,1292.9817982890954,209477977367.0,24967116.0
2360,1290.984955446051,161833292950.0,24967116.0
2380,1312.7328074993204,184298353587.0,25159916.0
2400,1317.8658588183926,194821376580.0,25159916.0
2420,1317.2096351860807,235533858793.0,25352716.0
2440,1330.3179698970011,265381926856.0,25352716.0
2460,1354.4809818680806,202330981829.0,25545516.0
2480,1356.7163149002013,150464349327.0,25545516.0
2500,1378.8256002032456,250138366067.0,25738316.0
2520,1391.3826666721884,257820757944.0,25738316.0
2540,1400.1209821710925,227156455179.0,25931116.0
2560,1403.041587642194,269516118015.0,25931116.0
2580,1426.7956489641829,260271916860.0,26123916.0
2600,1420.7580807079764,215348348250.0,26123916.0
2620,1420.875026146558,146142102694.0,26316716.0
2640,1453.591012934783,167363335844.0,26316716.0
2660,1459.1820965103004,148292273198.0,26509516.0
2680,1467.421306767327,150076713349.0,26509516.0
2700,1488.1789987110667,298419259817.0,26702316.0
2720,1504.517787309542,227250308775.0,26895116.0
2740,1505.4489411768682,261926067612.0,26895116.0
2760,1521.7681661541744,226732235284.0,27087916.0
2780,1527.2219105043,219134191793.0,27087916.0
2800,1524.2896290555325,217590534885.0,27280716.0
2820,1536.792113971149,195333035009.0,27280716.0
2840,1560.5905304877056,193979768467.0,27473516.0
2860,1566.2149861261018,193857608749.0,27473516.0
2880,1590.821211106398,189133498130.0,27666316.0
2900,1598.081987252148,372332933744.0,27666316.0
2920,1609.0066661850478,350236051989.0,27859116.0
2940,1618.0661391783924,320485502940.0,27859116.0
2960,1633.006422257622,246568848756.0,27859116.0
2980,1630.5757485208217,203918018115.0,28051916.0
3000,1633.1231905762263,257402731388.0,28051916.0
3020,1660.9659720544298,326442296983.0,28244716.0
3040,1665.0797771823563,189569214152.0,28244716.0
3060,1682.3117326464524,177701367244.0,28437516.0
3080,1701.969383827589,177125014031.0,28437516.0
3100,1706.9465242716085,329173059738.0,28630316.0
3120,1725.6765521422549,287706883322.0,28630316.0
3140,1722.8741367343832,335692933374.0,28823116.0
3160,1744.5543824471304,326881062718.0,28823116.0
3180,1737.8500643021328,275646236474.0,29015916.0
3200,1741.3376911958642,203527236318.0,29015916.0
3220,1768.2943262373549,198595544306.0,29208716.0
3240,1774.9117846109416,200503420544.0,29208716.0
3260,1794.450987441726,203391964970.0,29401516.0
3280,1810.834067997494,202735066082.0,29401516.0
3300,1811.675889932179,407072003550.0,29594316.0
3320,1840.3773774422916,349514487867.0,29594316.0
3340,1831.5402226488293,382113435708.0,29787116.0
3360,1857.829814010195,332662459256.0,29787116.0
3380,1837.2288946698773,312468619197.0,29979916.0
3400,1860.4426506345428,339998390557.0,29979916.0
3420,1876.3594365516835,213673370799.0,29979916.0
3440,1892.3268182121997,217490592121.0,30172716.0
3460,1914.603585134901,216275812588.0,30172716.0
3480,1910.903165898796,244318931398.0,30365516.0
3500,1921.8593440224504,448174475007.0,30365516.0
3520,1954.8081798486464,368775069887.0,30558316.0
3540,1939.839330424034,387809505097.0,30558316.0
3560,1958.7183184244136,370988930841.0,30751116.0
3580,1946.6349812507167,256392844421.0,30751116.0
3600,1979.4318620316972,246635131461.0,30943916.0
3620,1979.3178717497285,245647800521.0,30943916.0
3640,2004.0580300631696,243661164342.0,30943916.0
3660,2017.2261171974565,245406630075.0,31136716.0
3680,2030.2007023068663,244959961555.0,31136716.0
3700,2033.7727561842175,460881075947.0,31329516.0
3720,2061.5491704787382,445418339190.0,31329516.0
3740,2055.560482134529,413224464082.0,31522316.0
3760,2062.135378303804,295842945842.0,31522316.0
3780,2058.784741261497,281958828475.0,31715116.0
3800,2081.7688164289743,281242047511.0,31715116.0
3820,2100.8725896533383,283267611908.0,31907916.0
3840,2119.488816449187,286608949335.0,31907916.0
3860,2124.251053493352,276577954899.0,31907916.0
3880,2133.0925098249863,284093418636.0,32100716.0
3900,2144.083403634588,488987740673.0,32100716.0
3920,2168.634276048881,463866413958.0,32293516.0
3940,2166.5570709867475,427913381562.0,32293516.0
3960,2169.495973672946,281511328151.0,32486316.0
3980,2169.6190174641424,278544469067.0,32486316.0
4000,2197.807535261523,279744364086.0,32486316.0
4020,2209.2089964695097,279115742223.0,32679116.0
4040,2224.821164231028,277685700020.0,32679116.0
4060,2239.85817458812,282964790592.0,32871916.0
4080,2250.452675847327,276957195260.0,32871916.0
4100,2256.2339395839062,424930771381.0,33064716.0
4120,2272.749093792225,463960324766.0,33064716.0
4140,2281.0163282909098,469354058209.0,33064716.0
4160,2271.653248570944,416091995229.0,33257516.0
4180,2289.9633072728693,389998694169.0,33257516.0
4200,2297.782114764029,327874360563.0,33450316.0
4220,2331.9709763177607,331024448979.0,33450316.0
4240,2332.710625305901,334764029933.0,33643116.0
4260,2342.934442920191,328587245891.0,33643116.0
4280,2365.261985172018,329562943153.0,33643116.0
4300,2370.2970069880744,524558815941.0,33835916.0
4320,2378.344568515166,551603591709.0,33835916.0
4340,2394.031243844197,471992896470.0,34028716.0
4360,2371.6984361081804,326081705445.0,34028716.0
4380,2402.6559536456634,328042291652.0,34221516.0
4400,2416.3216618451493,323270153529.0,34221516.0
4420,2442.148206969872,321707517725.0,34221516.0
4440,2443.809632320614,325365520520.0,34414316.0
4460,2453.654072677813,319018626398.0,34414316.0
4480,2468.6079660899704,312227904056.0,34607116.0
4500,2482.2907478571387,681417907616.0,34607116.0
4520,2489.004288561794,646299576456.0,34607116.0
4540,2500.51279248716,553282742780.0,34799916.0
4560,2481.3032648824924,392578279063.0,34799916.0
4580,2511.208056024279,385436244363.0,34992716.0
4600,2532.726334815083,374192156330.0,34992716.0
4620,2541.66767907504,371464152107.0,35185516.0
4640,2559.172999756235,368705118663.0,35185516.0
4660,2568.4974866845428,372471121138.0,35185516.0
4680,2563.1456582662,356894303683.0,35378316.0
4700,2593.7650880039896,615070485567.0,35378316.0
4720,2594.054207890332,454181194128.0,35571116.0
4740,2608.7401880845164,433296666524.0,35571116.0
4760,2593.4495058159314,378322755100.0,35571116.0
4780,2626.188287274073,382915719338.0,35763916.0
4800,2634.561249537516,376761692836.0,35763916.0
4820,2661.3242823479486,380119533902.0,35956716.0
4840,2663.3509563022126,380622571532.0,35956716.0
4860,2683.496182294853,378767475565.0,35956716.0
4880,2671.0899393921773,369822475379.0,36149516.0
4900,2709.7941165652264,637970296601.0,36149516.0
4920,2704.1081012670857,432625159821.0,36342316.0
4940,2699.049965160444,588415566401.0,36342316.0
4960,2717.8280948696456,527831165642.0,36342316.0
4980,2732.8773206675664,403066702616.0,36535116.0
5000,2755.4990837296345,399020428517.0,36535116.0
