K,I,Regret,ProcessTime,SpaceUsage
1300,1,130800.64311196447,12562355673605.0,483035200.0
1320,1,132815.15321528193,12662252935601.0,483035200.0
1340,1,134825.00546182596,13193529031700.0,486723200.0
1360,1,136841.441696784,13196503007224.0,486723200.0
1380,1,138852.8202686563,12798582793466.0,490411200.0
