K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,3025304174.0,12903200.0
120,66.33029455611023,12355560443.0,14638400.0
140,77.58493028953075,30429347970.0,16373600.0
160,86.77125908833145,38189427702.0,17916000.0
180,101.37291840435331,52760542646.0,19651200.0
200,112.3873276964351,65825738060.0,21193600.0
220,118.78187767554866,64178526975.0,22736000.0
240,132.68106561613806,71994484724.0,24085600.0
260,140.8157627027297,82826455109.0,25628000.0
280,153.90207872195327,38081230672.0,26977600.0
300,164.93587868879382,74518029668.0,28520000.0
320,174.41972804269363,110633878685.0,29869600.0
340,190.97995680039227,126249476329.0,31219200.0
360,197.3312532596732,138012849475.0,32568800.0
380,206.2112305347349,138870198678.0,33918400.0
400,222.6228863610878,142659006170.0,35075200.0
420,233.4787535227853,175019084669.0,36424800.0
440,239.88902974456136,219926424429.0,37774400.0
460,248.48748557625763,245241514455.0,38931200.0
480,265.7272011036063,260323837872.0,40280800.0
500,273.6067810973717,105137890693.0,41437600.0
520,289.2991045852832,123349161816.0,42594400.0
540,295.02827273716275,128046705059.0,43944000.0
560,310.412361295766,138173831281.0,45100800.0
580,319.8324789954842,174267078576.0,46257600.0
600,323.496891221112,171403706088.0,47414400.0
620,343.8486801047908,163096601741.0,48571200.0
640,361.860992416146,184638250220.0,49728000.0
660,361.3391157825607,188990260875.0,50884800.0
680,374.2710412775855,200594157183.0,52041600.0
700,385.69088462809145,449648583382.0,53198400.0
720,395.7695803517291,451808258384.0,54162400.0
740,409.6507904618601,571469841005.0,55319200.0
760,417.2352398533644,642259279687.0,56476000.0
780,425.4262608891712,679812456013.0,57632800.0
800,448.51799167292126,730866373257.0,58596800.0
820,452.03223422449486,778651247154.0,59753600.0
840,465.2051800625329,804485512817.0,60910400.0
860,477.1393617269296,817425913951.0,61874400.0
880,479.3803839464219,838911097139.0,63031200.0
900,498.0782123245264,705435062737.0,63995200.0
920,502.5343055317072,860069606403.0,65152000.0
940,521.3340204274722,936477417490.0,66116000.0
960,523.7068557123948,1012592864328.0,67080000.0
980,548.1116940078912,1108377203082.0,68236800.0
1000,549.7613219775734,1079577546268.0,69200800.0
1020,564.3498766321295,1138382504937.0,70164800.0
1040,572.4339352530178,1204384624910.0,71321600.0
1060,578.5263455421242,1069496942219.0,72285600.0
1080,589.6055897869678,1093758773490.0,73249600.0
1100,605.7512609111797,610730226472.0,74406400.0
1120,620.2168047663589,617361237292.0,75370400.0
1140,618.7196305904239,628686672660.0,76334400.0
