K,Regret,ProcessTime,SpaceUsage
100,53.63148228976572,2188398503.0,6733600.0
120,66.33029455611023,3318005421.0,7504800.0
140,77.58493028953075,7383287256.0,8083200.0
160,86.77125908833145,8764205011.0,8854400.0
180,101.37291840435331,9920813962.0,9432800.0
200,112.3873276964351,11286687378.0,10011200.0
220,118.78187767554866,13009636240.0,10396800.0
240,132.68106561613806,14505021928.0,10975200.0
260,140.8157627027297,16853893696.0,11553600.0
280,153.90207872195327,17841753228.0,11939200.0
300,164.93587868879382,16514746055.0,12517600.0
320,174.41972804269363,20757880387.0,12903200.0
340,190.97995680039227,23401455980.0,13481600.0
360,197.3312532596732,26071060021.0,13867200.0
380,206.2112305347349,26199975401.0,14252800.0
400,222.6228863610878,27309033784.0,14638400.0
420,233.4787535227853,29911639983.0,15024000.0
440,239.88902974456136,31511924197.0,15602400.0
460,248.48748557625763,32777917902.0,15988000.0
480,265.7272011036063,37157259375.0,16373600.0
500,273.6067810973717,35860972459.0,16759200.0
520,289.2991045852832,42506321976.0,17144800.0
540,295.02827273716275,44588391194.0,17530400.0
560,310.412361295766,44649387048.0,17916000.0
580,319.8324789954842,48179954115.0,18301600.0
600,323.496891221112,51040440051.0,18494400.0
620,343.8486801047908,54538527084.0,18880000.0
640,361.860992416146,55759280140.0,19265600.0
660,361.3391157825607,59018325899.0,19651200.0
680,374.2710412775855,61590531529.0,20036800.0
700,385.69088462809145,62356679191.0,20229600.0
720,395.7695803517291,66990261177.0,20615200.0
740,409.6507904618601,70538202331.0,21000800.0
760,417.2352398533644,72503540334.0,21386400.0
780,425.4262608891712,75878319031.0,21579200.0
800,448.51799167292126,76988964223.0,21964800.0
820,452.03223422449486,78309887997.0,22350400.0
840,465.2051800625329,80967711140.0,22543200.0
860,477.1393617269296,83016753836.0,22928800.0
880,479.3803839464219,85923428030.0,23121600.0
900,498.0782123245264,91236316154.0,23507200.0
920,502.5343055317072,94758682948.0,23892800.0
940,521.3340204274722,97104168802.0,24085600.0
960,523.7068557123948,99291111925.0,24471200.0
980,548.1116940078912,104296031579.0,24664000.0
1000,549.7613219775734,109214930433.0,25049600.0
1020,564.3498766321295,108521472482.0,25242400.0
1040,572.4339352530178,113746263074.0,25628000.0
1060,578.5263455421242,118768949489.0,25820800.0
1080,589.6055897869678,122265521474.0,26206400.0
1100,605.7512609111797,146376260056.0,26399200.0
1120,620.2168047663589,151393420746.0,26784800.0
1140,618.7196305904239,132294702086.0,26977600.0
1160,648.1637109331241,132475743562.0,27170400.0
1180,650.6750027804795,134627891491.0,27556000.0
1200,667.5206328895871,140303491753.0,27748800.0
1220,666.3197011265264,147387310977.0,28134400.0
1240,678.1304691505674,142898438246.0,28327200.0
1260,696.0861650804017,150279138258.0,28520000.0
1280,705.2769503244929,157204858832.0,28905600.0
1300,716.8118738128521,162906300387.0,29098400.0
1320,728.8361574749986,171651374720.0,29484000.0
1340,732.589675997812,177259759571.0,29676800.0
1360,756.0852747959678,175146731877.0,29869600.0
1380,762.1151296718347,182495345616.0,30255200.0
1400,769.9134455612397,189280590103.0,30448000.0
1420,778.1981595047139,188102525583.0,30640800.0
1440,797.8240267591169,196129667133.0,31026400.0
1460,802.0264951376765,202916887994.0,31219200.0
1480,812.304468624867,200792099120.0,31412000.0
1500,825.9790246431345,237998452494.0,31604800.0
1520,837.5654703940436,251240457637.0,31990400.0
1540,853.84106741594,248102549994.0,32183200.0
1560,861.4224531395707,260932858735.0,32376000.0
1580,868.0173389892085,273823465668.0,32761600.0
1600,876.3101901965604,262215079596.0,32954400.0
1620,896.7783485731933,265100891222.0,33147200.0
1640,902.5197505598286,269541777066.0,33340000.0
1660,905.6072706226246,270384191193.0,33725600.0
1680,919.672541915393,280755698151.0,33918400.0
1700,933.878047326288,260528847886.0,34111200.0
1720,944.4781552046952,269061052650.0,34304000.0
1740,968.2890599822668,261891275963.0,34496800.0
1760,975.5290718857848,273845701254.0,34882400.0
1780,971.0906144430932,281050792260.0,35075200.0
1800,989.9502319401852,279135876391.0,35268000.0
1820,1004.2301169986608,287958576924.0,35460800.0
1840,1009.1141861978572,293348457302.0,35653600.0
1860,1018.2781636135076,294960011869.0,36039200.0
1880,1015.988085342815,303653538704.0,36232000.0
1900,1044.258997040897,374378589326.0,36424800.0
1920,1056.853910499215,296881420022.0,36617600.0
1940,1075.3799394397213,229557775520.0,36810400.0
1960,1081.282085575143,237992803400.0,37003200.0
1980,1082.5885926643457,248634997733.0,37388800.0
2000,1106.213591014182,246482557622.0,37581600.0
2020,1111.8981720832817,240194285235.0,37774400.0
2040,1111.802974205038,241275367023.0,37967200.0
2060,1119.2769278117978,259378284364.0,38160000.0
2080,1138.504127092415,247992594429.0,38352800.0
2100,1156.5009336873752,383344392048.0,38545600.0
2120,1166.5382045213432,399110226863.0,38931200.0
2140,1186.1080197248175,388661788341.0,39124000.0
2160,1183.5611429554149,400638606911.0,39316800.0
2180,1203.5541670488235,408722844805.0,39509600.0
2200,1213.1673465667018,420091760717.0,39702400.0
2220,1213.393701182409,415422460647.0,39895200.0
2240,1214.587204584693,426355853645.0,40088000.0
