K,I,Regret,ProcessTime,SpaceUsage
300,1,29782.697499561487,9448447218996.0,2664899016.0
320,1,31767.79573809036,9988773080907.0,2664899016.0
340,1,33753.009691089916,10849629989834.0,2672683016.0
360,1,35740.82047280897,11486451348360.0,2672683016.0
380,1,37726.72802128775,11505315516692.0,2680467016.0
