K,I,Regret,ProcessTime,SpaceUsage
200,1,19856.925164304514,4196985019635.0,2569457416.0
220,1,21835.927584252022,4456447155527.0,2569457416.0
240,1,23823.344669035247,5164524834593.0,2572735816.0
260,1,25807.762077647327,5590245966409.0,2576014216.0
280,1,27792.609047500202,6014095923672.0,2576014216.0
