K,I,Regret,ProcessTime,SpaceUsage
1200,1,119138.95151580188,32350492223395.0,762787200.0
1220,1,121118.56272706127,32782567865617.0,762787200.0
1240,1,123110.24922230495,33748654999252.0,770571200.0
1260,1,125082.41821920776,34146559228358.0,770571200.0
1280,1,127064.89390902797,35126317717680.0,778355200.0
