K,I,Regret,ProcessTime,SpaceUsage
100,1,9926.247827495392,1748833916608.0,2654695816.0
120,1,11909.176860199042,2119291461118.0,2664531016.0
140,1,13890.472249360297,2462168428318.0,2677644616.0
160,1,15886.393598132523,2771959679910.0,2687479816.0
180,1,17873.26922066614,3101055407106.0,2697315016.0
