K,I,Regret,ProcessTime,SpaceUsage
1100,1,110680.39078238803,6283928201260.0,1076803200.0
1120,1,112690.7635793234,6368245029412.0,1076803200.0
1140,1,114703.75123322755,6504853011740.0,1084179200.0
1160,1,116711.11892385349,6625399184718.0,1091555200.0
1180,1,118728.27829010045,6698122428025.0,1091555200.0
