K,I,Regret,ProcessTime,SpaceUsage
1200,1,118976.53121437832,10536697630117.0,1000217600.0
1220,1,120902.74108157426,10325956816988.0,1000217600.0
1240,1,123075.27548266255,10544856947647.0,1006774400.0
1260,1,125071.64017656913,10975516080165.0,1006774400.0
1280,1,126848.61215101196,10787897303723.0,1013331200.0
