K,I,Regret,ProcessTime,SpaceUsage
600,1,59561.385809079045,11365481816140.0,1759139200.0
620,1,61543.58579478979,11760815572132.0,1774707200.0
640,1,63540.15163409546,12120814209176.0,1790275200.0
660,1,65525.94994780119,12525131600876.0,1805843200.0
680,1,67507.966704632,12945647146657.0,1821411200.0
