K,I,Regret,ProcessTime,SpaceUsage
2100,1,208448.47692631587,31313138191613.0,515014400.0
2120,1,210435.27495825937,31775553322149.0,518292800.0
2140,1,212443.77779977725,32053053136553.0,518292800.0
2160,1,214424.25794818118,32359253209657.0,518292800.0
2180,1,216388.88075312335,32833915777106.0,521571200.0
